"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.5785069284666e-13,0.90598342328129,0.207,0.106,6.68321953960422e-09,"2","Sgce"
3.97254144953697e-13,1.8053638131115,0.102,0.035,7.41911841115525e-09,"2","Nrxn2"
4.1822941871681e-13,1.00611263824092,0.215,0.114,7.81085262395514e-09,"2","Cxxc5"
4.40210198043424e-13,1.41181709650265,0.131,0.053,8.22136565865898e-09,"2","Lsamp"
4.43069316887276e-13,0.826725386042102,0.282,0.168,8.27476256218676e-09,"2","Il6ra"
5.75796808477443e-13,1.18951215972555,0.196,0.102,1.07535811951247e-08,"2","Gtf2h2"
5.75977493768302e-13,0.653161601543478,0.355,0.234,1.07569556736168e-08,"2","Ifi27l2a"
5.91404778800562e-13,0.708387075097889,0.411,0.283,1.10450756488793e-08,"2","Lamtor4"
5.92623921317748e-13,1.34415241300001,0.125,0.05,1.10678443545303e-08,"2","Nckap1l"
6.88861608618723e-13,1.41498338090589,0.116,0.044,1.28651794025633e-08,"2","March1"
6.91283205341341e-13,0.426265403917093,0.667,0.533,1.29104051429549e-08,"2","Itm2c"
9.18532290147642e-13,0.753080993498386,0.348,0.226,1.71545090507974e-08,"2","Tmem176a"
9.43745032930285e-13,1.25678062037513,0.151,0.068,1.7625382235006e-08,"2","Slc11a1"
9.49390805835177e-13,1.4453249542582,0.127,0.052,1.77308226897778e-08,"2","Lpxn"
9.57536565714345e-13,1.33428090293116,0.162,0.076,1.78829529012811e-08,"2","Fam213a"
1.19982105070604e-12,1.30977864449198,0.15,0.068,2.2407857942986e-08,"2","Sla"
1.2320474761899e-12,1.20801144709925,0.22,0.122,2.30097186653225e-08,"2","Slc22a17"
1.23407440594884e-12,1.270701251052,0.14,0.061,2.30475736055005e-08,"2","Arl4c"
1.32559244473816e-12,1.43026648016545,0.138,0.06,2.47567644979299e-08,"2","Slc6a1"
1.36026124278835e-12,0.932344398696726,0.221,0.119,2.54042389703153e-08,"2","Slc35b2"
1.45815483832483e-12,0.383187691862828,0.908,0.892,2.72324997605545e-08,"2","Ddx5"
1.49921110035814e-12,1.00399969147304,0.157,0.071,2.79992665102886e-08,"2","Snta1"
1.56479183697182e-12,0.852373804167687,0.26,0.153,2.92240523472858e-08,"2","Fam173a"
1.65985943131731e-12,0.450193858759347,0.701,0.607,3.09995347392821e-08,"2","Gapdh"
2.16200170192982e-12,0.556121117743352,0.561,0.436,4.03775437852413e-08,"2","Rrbp1"
2.32010219347398e-12,1.08865517616739,0.18,0.09,4.33302285653201e-08,"2","Slc12a9"
2.3662927815953e-12,1.12640654356433,0.173,0.085,4.41928839890739e-08,"2","Naglu"
2.39774657796466e-12,0.982106929255817,0.266,0.162,4.4780315090068e-08,"2","Csnk1e"
2.4351967423717e-12,1.30386190077009,0.12,0.048,4.54797343605338e-08,"2","Tlr7"
3.09282737136414e-12,1.18081617029709,0.154,0.071,5.77616439875966e-08,"2","Tnfrsf21"
3.36964894554491e-12,1.56265244892342,0.104,0.038,6.29315637069967e-08,"2","Rtn4rl1"
3.64286544458026e-12,1.19997008635578,0.159,0.077,6.80341550429809e-08,"2","Dock10"
3.78558023909627e-12,1.10694342221311,0.169,0.083,7.0699496545362e-08,"2","Ptprc"
3.82908692829828e-12,0.496038737177545,0.621,0.504,7.15120274728987e-08,"2","Mpc1"
4.0363613237505e-12,1.36587422909543,0.114,0.044,7.53830840823644e-08,"2","Cysltr1"
4.52052047382115e-12,1.21652198196531,0.144,0.065,8.44252403690838e-08,"2","Arsb"
4.86039963405191e-12,1.35038040847061,0.148,0.068,9.07728235655535e-08,"2","Fgfr3"
5.00066763314941e-12,1.9843261329675,0.108,0.042,9.33924687166983e-08,"2","Aqp4"
5.30490824122306e-12,1.121779676533,0.185,0.096,9.90744663130818e-08,"2","Mylip"
5.84171507005595e-12,1.64099200119461,0.111,0.044,1.09099870648365e-07,"2","Sfxn5"
6.23895138537861e-12,0.869768378696093,0.215,0.117,1.16518656073331e-07,"2","Ifi30"
6.56983250313984e-12,1.34707578903914,0.102,0.037,1.2269819182864e-07,"2","Smim1"
7.47980964304486e-12,0.675047826971479,0.364,0.245,1.39692924893506e-07,"2","Grina"
8.84380942851793e-12,0.759809302980002,0.228,0.127,1.65166984887001e-07,"2","Ms4a6b"
1.02420169410448e-11,1.21364618290082,0.149,0.07,1.91279908390952e-07,"2","2210016F16Rik"
1.05681534638389e-11,0.576057845538871,0.392,0.271,1.97370834090655e-07,"2","Pmp22"
1.0636032164857e-11,1.53793910429578,0.165,0.084,1.98638536710869e-07,"2","Gm3764"
1.09650148560906e-11,0.504222896942031,0.655,0.567,2.04782617452348e-07,"2","Clta"
1.2087441467601e-11,0.866470749333871,0.261,0.159,2.25745056848917e-07,"2","Elmo1"
1.26501769543132e-11,1.65035789611602,0.103,0.039,2.36254704798753e-07,"2","Kcnj13"
1.30578130963368e-11,1.00236324985211,0.182,0.094,2.43867717387186e-07,"2","Itgam"
1.61759407414257e-11,1.18939440976374,0.126,0.054,3.02101869286866e-07,"2","Shisa4"
1.81306531071475e-11,0.985445386976924,0.195,0.105,3.38608077429087e-07,"2","Acads"
1.9561278644502e-11,0.528801424961417,0.204,0.107,3.6532643996472e-07,"2","Atp1b1"
2.00014964712082e-11,0.678009763158006,0.354,0.237,3.73547948096284e-07,"2","Fuca1"
2.01981387587439e-11,0.629755625010386,0.607,0.507,3.77220439458301e-07,"2","Zfp36"
